"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ACAMRU9Q","journalArticle","1993","Stork, David G.","Books on Artifical Life and Related Topics","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.243","https://direct.mit.edu/artl/article/1/1_2/243-247/2265","","1993-10","2021-08-06 07:19:28","2021-08-06 07:19:28","2021-08-06 07:19:28","243-247","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMXWBVA7","journalArticle","1993","Resnick, Mitchel","Learning About Life","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.229","https://direct.mit.edu/artl/article/1/1_2/229-241/2254","The growing interest in Artificial Life is part of a broader intellectual movement toward decentralized models and metaphors. But even as decentralized ideas spread through the culture, there is a deep-seated resistance to these ideas. People have strong attachments to centralized ways of thinking: they often assume centralized control where none exists. New types of computational tools and construction kits are needed to help people move beyond this “centralized mindset.” Perhaps most important are new tools and activities for children, to help them develop new ways of looking at the world.","1993-10","2021-08-06 07:19:22","2021-08-06 07:19:22","2021-08-06 07:19:22","229-241","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9SUGCFG","journalArticle","1993","Fontana, Walter; Wagner, Günter; Buss, Leo W.","Beyond Digital Naturalism","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.211","https://direct.mit.edu/artl/article/1/1_2/211-227/2263","The success of Artificial Life (ALife) depends on whether it will help solve the conceptual problems of biology. Biology may be viewed as the science of the transformation of organizations. Yet biology lacks a theory of organization. We use this as an example of the challenge that ALife must meet.","1993-10","2021-08-06 07:19:15","2021-08-06 07:19:15","2021-08-06 07:19:15","211-227","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGDCI6UD","journalArticle","1993","Ray, Thomas S.","An Evolutionary Approach to Synthetic Biology: Zen and the Art of Creating Life","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.179","https://direct.mit.edu/artl/article/1/1_2/179-209/2261","Our concepts of biology, evolution, and complexity are constrained by having observed only a single instance of life, life on earth. A truly comparative biology is needed to extend these concepts. Because we cannot observe life on other planets, we are left with the alternative of creating Artificial Life forms on earth. I will discuss the approach of inoculating evolution by natural selection into the medium of the digital computer. This is not a physical/chemical medium; it is a logical/informational medium. Thus, these new instances of evolution are not subject to the same physical laws as organic evolution (e.g., the laws of thermodynamics) and exist in what amounts to another universe, governed by the “physical laws” of the logic of the computer. This exercise gives us a broader perspective on what evolution is and what it does.             An evolutionary approach to synthetic biology consists of inoculating the process of evolution by natural selection into an artificial medium. Evolution is then allowed to find the natural forms of living organisms in the artificial medium. These are not models of life, but independent instances of life. This essay is intended to communicate a way of thinking about synthetic biology that leads to a particular approach: to understand and respect the natural form of the artificial medium, to facilitate the process of evolution in generating forms that are adapted to the medium, and to let evolution find forms and processes that naturally exploit the possibilities inherent in the medium. Examples are cited of synthetic biology embedded in the computational medium, where in addition to being an exercise in experimental comparative evolutionary biology, it is also a possible means of harnessing the evolutionary process for the production of complex computer software.","1993-10","2021-08-06 07:19:09","2021-08-06 07:19:09","2021-08-06 07:19:09","179-209","","1_2","1","","Artificial Life","An Evolutionary Approach to Synthetic Biology","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKMDJZJL","journalArticle","1993","Kaneko, Kunihiko","Chaos as a Source of Complexity and Diversity in Evolution","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.163","https://direct.mit.edu/artl/article/1/1_2/163-177/2267","The relevance of chaos to evolution is discussed in the context of the origin and maintenance of diversity and complexity. Evolution to the edge of chaos is demonstrated in an imitation game. As an origin of diversity, dynamic clustering of identical chaotic elements, globally coupled each to the other, is briefly reviewed. The clustering is extended to nonlinear dynamics on hypercubic lattices, which enables us to construct a self-organizing genetic algorithm. A mechanism of maintenance of diversity, “homeochaos,” is given in an ecological system with interaction among many species. Homeochaos provides a dynamic stability sustained by high-dimensional weak chaos. A novel mechanism of cell differentiation is presented, based on dynamic clustering. Here, a new concept—“open chaos”—is proposed for the instability in a dynamical system with growing degrees of freedom. It is suggested that studies based on interacting chaotic elements can replace both top-down and bottom-up approaches.","1993-10","2021-08-06 07:19:03","2021-08-06 07:19:03","2021-08-06 07:19:03","163-177","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\6CBJ9HM4\Kaneko - 1993 - Chaos as a Source of Complexity and Diversity in E.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFUUE7GT","journalArticle","1993","Maes, Pattie","Modeling Adaptive Autonomous Agents","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.135","https://direct.mit.edu/artl/article/1/1_2/135-162/2256","One category of research in Artificial Life is concerned with modeling and building so-called adaptive autonomous agents, which are systems that inhabit a dynamic, unpredictable environment in which they try to satisfy a set of time-dependent goals or motivations. Agents are said to be adaptive if they improve their competence at dealing with these goals based on experience. Autonomous agents constitute a new approach to the study of Artificial Intelligence (AI), which is highly inspired by biology, in particular ethology, the study of animal behavior. Research in autonomous agents has brought about a new wave of excitement into the field of AI. This paper reflects on the state of the art of this new approach. It attempts to extract its main ideas, evaluates what contributions have been made so far, and identifies its current limitations and open problems.","1993-10","2021-08-06 07:18:56","2021-08-06 07:18:56","2021-08-06 07:18:56","135-162","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRF6FAXE","journalArticle","1993","Dyer, Michael G.","Toward Synthesizing Artificial Neural Networks that Exhibit Cooperative Intelligent Behavior: Some Open Issues in Artificial Life","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.111","https://direct.mit.edu/artl/article/1/1_2/111-134/2266","The tasks that animals perform require a high degree of intelligence. Animals forage for food, migrate, navigate, court mates, rear offspring, defend against predators, construct nests, and so on. These tasks commonly require social interaction/cooperation and are accomplished by animal nervous systems, which are the result of billions of years of evolution and complex developmental/learning processes. The Artificial Life (AL) approach to synthesizing intelligent behavior is guided by this biological perspective. In this article we examine some of the numerous open problems in synthesizing intelligent animal behavior (especially cooperative behavior involving communication) that face the field of AL, a discipline still in its infancy.","1993-10","2021-08-06 07:18:40","2021-08-06 07:18:40","2021-08-06 07:18:40","111-134","","1_2","1","","Artificial Life","Toward Synthesizing Artificial Neural Networks that Exhibit Cooperative Intelligent Behavior","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7BLAKWX","journalArticle","1993","Steels, Luc","The Artificial Life Roots of Artificial Intelligence","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.75","https://direct.mit.edu/artl/article/1/1_2/75-110/2271","Behavior-oriented Artificial Intelligence (AI) is a scientific discipline that studies how behavior of agents emerges and becomes intelligent and adaptive. Success of the field is defined in terms of success in building physical agents that are capable of maximizing their own self-preservation in interaction with a dynamically changing environment. The paper addresses this Artificial Life route toward AI and reviews some of the results obtained so far.","1993-10","2021-08-06 07:18:32","2021-08-06 07:18:32","2021-08-06 07:18:32","75-110","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\9JE64NDY\Steels - 1993 - The Artificial Life Roots of Artificial Intelligen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDNNUSI2","journalArticle","1993","Prusinkiewicz, Przemyslaw","Visual Models of Morphogenesis","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.61","https://direct.mit.edu/artl/article/1/1_2/61-74/2269","Rapid progress in the modeling of biological structures and simulation of their development has occurred over the last few years. It has been coupled with the visualization of simulation results, which has led to a better understanding of morphogenesis and given rise to new procedural techniques for realistic image synthesis. This paper reviews selected models of morphogenesis with a significant visual component.","1993-10","2021-08-06 07:18:26","2021-08-06 07:18:26","2021-08-06 07:18:26","61-74","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTRQFAW2","journalArticle","1993","Schuster, P.","Extended Molecular Evolutionary Biology: Artificial Life Bridging the Gap Between Chemistry and Biology","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.39","https://direct.mit.edu/artl/article/1/1_2/39-60/2257","Molecular evolution provides an ample field for the extension of Nature's principles towards novel applications. Several examples are discussed here, among them are evolution in the test tube, nucleotide chemistry with new base pairs and new backbones, enzyme-free replication of polynucleotides and template chemistry aiming at replicating structures that have nothing in common with the molecules from nature.             Molecular evolution in the test tube provides a uniquely simple system for the study of evolutionary phenomena: genotype and phenotype are two features of one and the same RNA molecule. Then fitness landscapes are nothing more than combined mappings from sequences to structures and from structures to functions, the latter being expressed in terms of rate constants. RNA landscapes are presented as examples for which an access to phenomena in reality by mathematical analysis and computer simulations is feasible. New questions concerning stability of structures in evolution can be raised and quantitative answers are given.             Evolutionary biotechnology is a spin-off from molecular evolution. Darwin's principle of variation and selection is applied to design novel biopolymers with predetermined functions. Different approaches to achieve this goal are discussed and a survey of the current state of the art is given.","1993-10","2021-08-06 07:18:21","2021-08-06 07:18:21","2021-08-06 07:18:21","39-60","","1_2","1","","Artificial Life","Extended Molecular Evolutionary Biology","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
